latitude,longitude,price
48.87152658,2.373420868,80
48.82402327,2.348424925,27
48.86410543,2.343091963,135
48.86058278,2.364209348,85
48.86895424,2.401419876,45
48.85755895,2.36518958,99
48.82417058,2.350782386,27
48.88657563,2.325377341,500
48.88115968,2.334455196,110
48.85689099,2.357700006,185
48.87145641,2.388449492,90
48.8392554,2.346948327,60
48.88502448,2.360170995,75
48.85050212,2.29092912,71
48.85596215,2.33171832,135
48.8841418,2.338312272,79
48.85597413,2.387572942,53
48.8565868,2.365020812,125
48.86014505,2.341976836,130
48.86463366,2.352476943,65
48.85624074,2.338380606,155
48.87038787,2.361104929,150
48.84117804,2.31774558,105
48.88494787,2.335735507,95
48.85515144,2.376355894,100
48.83020056,2.354057672,95
48.86598834,2.347468538,134
48.85766095,2.356829796,150
48.83637812,2.330821786,140
48.86428253,2.393846721,55
48.85538413,2.389569472,80
48.89556777,2.346539426,109
48.84079437,2.317307646,99
48.89335377,2.320305294,60
48.8553541,2.372139325,389
48.89048218,2.345044646,119
48.87263066,2.3467933,180
48.89122324,2.329564948,103
48.82671446,2.355677851,50
48.8398289,2.282469557,206
48.8639561,2.354079289,130
48.86763761,2.358363103,115
48.88568756,2.345141266,100
48.86485096,2.366669032,60
48.85546144,2.36827946,217
48.8728267,2.296381524,449
48.84473094,2.353086013,120
48.84022606,2.345730175,150
48.87961327,2.29445145,60
48.87009843,2.378422796,60
48.87249489,2.394909533,45
48.85901088,2.373248809,41
48.84952957,2.290219204,95
48.89268716,2.365117607,130
48.88583357,2.345903122,46
48.89508998,2.32202414,49
48.86109732,2.382749366,50
48.83063459,2.353768693,69
48.86806011,2.347438732,109
48.86541384,2.364911405,110
48.85343843,2.387125713,65
48.84948763,2.379953496,33
48.88368691,2.36565627,150
48.88580765,2.341919848,80
48.85510107,2.362705555,88
48.84812511,2.328559869,135
48.88066036,2.344198814,175
48.88056334,2.297497952,125
48.86920934,2.397209522,60
48.84280561,2.302875871,52
48.86339625,2.358264399,90
48.84217692,2.350075999,90
48.85228248,2.311322878,140
48.85626211,2.388443173,90
48.85565722,2.397081548,40
48.86383716,2.349322185,110
48.89232077,2.379260294,150
48.86601653,2.35116515,50
48.87488001,2.377247973,67
48.85631707,2.405213926,40
48.82520864,2.357515694,50
48.89360019,2.345870124,133
48.86542102,2.352311731,190
48.88240103,2.336862456,100
